
SearchServletTotalExecutionTime:1024322,JDBCExecutionTime:525664
SearchServletTotalExecutionTime:1067602,JDBCExecutionTime:558109
SearchServletTotalExecutionTime:1164179,JDBCExecutionTime:620241
SearchServletTotalExecutionTime:856368,JDBCExecutionTime:390386
SearchServletTotalExecutionTime:1096231,JDBCExecutionTime:564796
SearchServletTotalExecutionTime:953148,JDBCExecutionTime:413914
SearchServletTotalExecutionTime:875825,JDBCExecutionTime:391765
SearchServletTotalExecutionTime:2213957,JDBCExecutionTime:1648730
SearchServletTotalExecutionTime:3635371,JDBCExecutionTime:1648730
SearchServletTotalExecutionTime:853966,JDBCExecutionTime:367804
SearchServletTotalExecutionTime:1578140,JDBCExecutionTime:870515
SearchServletTotalExecutionTime:1635842,JDBCExecutionTime:870515
SearchServletTotalExecutionTime:3589777,JDBCExecutionTime:3060245
SearchServletTotalExecutionTime:869222,JDBCExecutionTime:359798
SearchServletTotalExecutionTime:2498799,JDBCExecutionTime:2122680
SearchServletTotalExecutionTime:2657693,JDBCExecutionTime:1618755
SearchServletTotalExecutionTime:4125947,JDBCExecutionTime:1618755
SearchServletTotalExecutionTime:2497502,JDBCExecutionTime:1618755
SearchServletTotalExecutionTime:3532807,JDBCExecutionTime:1799273
SearchServletTotalExecutionTime:1029748,JDBCExecutionTime:472727
SearchServletTotalExecutionTime:2498900,JDBCExecutionTime:472727
SearchServletTotalExecutionTime:3657806,JDBCExecutionTime:3089659
SearchServletTotalExecutionTime:4737114,JDBCExecutionTime:4223524
SearchServletTotalExecutionTime:1528714,JDBCExecutionTime:1270885
SearchServletTotalExecutionTime:942038,JDBCExecutionTime:1052108
SearchServletTotalExecutionTime:2034524,JDBCExecutionTime:1052108
SearchServletTotalExecutionTime:5384651,JDBCExecutionTime:1052108
SearchServletTotalExecutionTime:4427608,JDBCExecutionTime:3901481
SearchServletTotalExecutionTime:1897739,JDBCExecutionTime:1253551
SearchServletTotalExecutionTime:2665330,JDBCExecutionTime:1253551
SearchServletTotalExecutionTime:3852966,JDBCExecutionTime:3338303
SearchServletTotalExecutionTime:4984679,JDBCExecutionTime:4414609
SearchServletTotalExecutionTime:811054,JDBCExecutionTime:308069
SearchServletTotalExecutionTime:1325194,JDBCExecutionTime:656990
SearchServletTotalExecutionTime:2425325,JDBCExecutionTime:1928877
SearchServletTotalExecutionTime:993778,JDBCExecutionTime:518166
SearchServletTotalExecutionTime:1944828,JDBCExecutionTime:1428602
SearchServletTotalExecutionTime:5803668,JDBCExecutionTime:1428602
SearchServletTotalExecutionTime:893773,JDBCExecutionTime:399331
SearchServletTotalExecutionTime:1977823,JDBCExecutionTime:1487277
SearchServletTotalExecutionTime:3203301,JDBCExecutionTime:2676849
SearchServletTotalExecutionTime:1162935,JDBCExecutionTime:547860
SearchServletTotalExecutionTime:2705249,JDBCExecutionTime:2180255
SearchServletTotalExecutionTime:1186817,JDBCExecutionTime:545917
SearchServletTotalExecutionTime:2283046,JDBCExecutionTime:1772936
SearchServletTotalExecutionTime:861224,JDBCExecutionTime:338511
SearchServletTotalExecutionTime:1899677,JDBCExecutionTime:1343093
SearchServletTotalExecutionTime:2980027,JDBCExecutionTime:2446242
SearchServletTotalExecutionTime:1367117,JDBCExecutionTime:647267
SearchServletTotalExecutionTime:1050154,JDBCExecutionTime:468951
SearchServletTotalExecutionTime:1055641,JDBCExecutionTime:519310
SearchServletTotalExecutionTime:2868234,JDBCExecutionTime:2278147
SearchServletTotalExecutionTime:3933140,JDBCExecutionTime:3427344
SearchServletTotalExecutionTime:1414069,JDBCExecutionTime:746505
SearchServletTotalExecutionTime:880844,JDBCExecutionTime:421008
SearchServletTotalExecutionTime:1894900,JDBCExecutionTime:1426883
