
SearchServletTotalExecutionTime:1069783,JDBCExecutionTime:557345
SearchServletTotalExecutionTime:1066823,JDBCExecutionTime:539572
SearchServletTotalExecutionTime:1048451,JDBCExecutionTime:542185
SearchServletTotalExecutionTime:1046424,JDBCExecutionTime:548128
SearchServletTotalExecutionTime:1107732,JDBCExecutionTime:560169
SearchServletTotalExecutionTime:1063856,JDBCExecutionTime:550928
SearchServletTotalExecutionTime:1111276,JDBCExecutionTime:541312
SearchServletTotalExecutionTime:1101209,JDBCExecutionTime:602150
SearchServletTotalExecutionTime:1093816,JDBCExecutionTime:574668
SearchServletTotalExecutionTime:1100706,JDBCExecutionTime:560435
SearchServletTotalExecutionTime:1032829,JDBCExecutionTime:530992
SearchServletTotalExecutionTime:1035346,JDBCExecutionTime:551413
SearchServletTotalExecutionTime:1071031,JDBCExecutionTime:550758
SearchServletTotalExecutionTime:1051864,JDBCExecutionTime:564176
SearchServletTotalExecutionTime:1091633,JDBCExecutionTime:547442
SearchServletTotalExecutionTime:1092112,JDBCExecutionTime:596168
SearchServletTotalExecutionTime:1032120,JDBCExecutionTime:550780
SearchServletTotalExecutionTime:1109215,JDBCExecutionTime:570970
SearchServletTotalExecutionTime:1064699,JDBCExecutionTime:567162
SearchServletTotalExecutionTime:1055719,JDBCExecutionTime:546803
SearchServletTotalExecutionTime:1124812,JDBCExecutionTime:608881
SearchServletTotalExecutionTime:1043999,JDBCExecutionTime:548013
SearchServletTotalExecutionTime:1079861,JDBCExecutionTime:579247
SearchServletTotalExecutionTime:1154224,JDBCExecutionTime:579027
SearchServletTotalExecutionTime:1113508,JDBCExecutionTime:550055
SearchServletTotalExecutionTime:1084914,JDBCExecutionTime:583388
SearchServletTotalExecutionTime:1083473,JDBCExecutionTime:540386
SearchServletTotalExecutionTime:1080748,JDBCExecutionTime:580172
SearchServletTotalExecutionTime:1102285,JDBCExecutionTime:564918
SearchServletTotalExecutionTime:1017249,JDBCExecutionTime:508181
SearchServletTotalExecutionTime:1079255,JDBCExecutionTime:529692
SearchServletTotalExecutionTime:1064735,JDBCExecutionTime:527059
SearchServletTotalExecutionTime:1108376,JDBCExecutionTime:592224
SearchServletTotalExecutionTime:1137503,JDBCExecutionTime:571465
SearchServletTotalExecutionTime:1049287,JDBCExecutionTime:557218
SearchServletTotalExecutionTime:1126627,JDBCExecutionTime:585545
SearchServletTotalExecutionTime:1043945,JDBCExecutionTime:557959
SearchServletTotalExecutionTime:1121863,JDBCExecutionTime:585819
SearchServletTotalExecutionTime:1187814,JDBCExecutionTime:564115
SearchServletTotalExecutionTime:1138870,JDBCExecutionTime:608038
SearchServletTotalExecutionTime:999652,JDBCExecutionTime:517721
SearchServletTotalExecutionTime:1068373,JDBCExecutionTime:563007
