
SearchServletTotalExecutionTime:1070523,JDBCExecutionTime:536838
SearchServletTotalExecutionTime:1134133,JDBCExecutionTime:592809
SearchServletTotalExecutionTime:1129364,JDBCExecutionTime:558747
SearchServletTotalExecutionTime:1166421,JDBCExecutionTime:586779
SearchServletTotalExecutionTime:1163432,JDBCExecutionTime:649395
SearchServletTotalExecutionTime:1124150,JDBCExecutionTime:548614
SearchServletTotalExecutionTime:1133165,JDBCExecutionTime:562729
SearchServletTotalExecutionTime:1097077,JDBCExecutionTime:574432
SearchServletTotalExecutionTime:1066757,JDBCExecutionTime:554947
SearchServletTotalExecutionTime:1124980,JDBCExecutionTime:570441
SearchServletTotalExecutionTime:1080126,JDBCExecutionTime:575462
SearchServletTotalExecutionTime:1108847,JDBCExecutionTime:580300
SearchServletTotalExecutionTime:1112569,JDBCExecutionTime:573392
SearchServletTotalExecutionTime:1105585,JDBCExecutionTime:549409
SearchServletTotalExecutionTime:1047853,JDBCExecutionTime:535467
SearchServletTotalExecutionTime:1146539,JDBCExecutionTime:540885
SearchServletTotalExecutionTime:1062844,JDBCExecutionTime:588583
SearchServletTotalExecutionTime:1091717,JDBCExecutionTime:611337
SearchServletTotalExecutionTime:1080241,JDBCExecutionTime:574885
SearchServletTotalExecutionTime:1133160,JDBCExecutionTime:571241
SearchServletTotalExecutionTime:1081115,JDBCExecutionTime:569316
SearchServletTotalExecutionTime:1120512,JDBCExecutionTime:583381
SearchServletTotalExecutionTime:1133758,JDBCExecutionTime:581959
SearchServletTotalExecutionTime:1132933,JDBCExecutionTime:596492
SearchServletTotalExecutionTime:1121127,JDBCExecutionTime:553845
SearchServletTotalExecutionTime:1125254,JDBCExecutionTime:544570
SearchServletTotalExecutionTime:1076381,JDBCExecutionTime:556114
SearchServletTotalExecutionTime:1083908,JDBCExecutionTime:565466
SearchServletTotalExecutionTime:1168248,JDBCExecutionTime:572113
SearchServletTotalExecutionTime:1152372,JDBCExecutionTime:551095
SearchServletTotalExecutionTime:1018990,JDBCExecutionTime:557250
SearchServletTotalExecutionTime:1079412,JDBCExecutionTime:557088
SearchServletTotalExecutionTime:1150094,JDBCExecutionTime:611982
SearchServletTotalExecutionTime:1169260,JDBCExecutionTime:573168
SearchServletTotalExecutionTime:1081640,JDBCExecutionTime:575146
SearchServletTotalExecutionTime:1120981,JDBCExecutionTime:576613
SearchServletTotalExecutionTime:1106559,JDBCExecutionTime:579822
SearchServletTotalExecutionTime:1094260,JDBCExecutionTime:577545
SearchServletTotalExecutionTime:1095382,JDBCExecutionTime:549053
SearchServletTotalExecutionTime:1068250,JDBCExecutionTime:555175
SearchServletTotalExecutionTime:1129358,JDBCExecutionTime:561091
SearchServletTotalExecutionTime:1064921,JDBCExecutionTime:560356
SearchServletTotalExecutionTime:1113889,JDBCExecutionTime:571555
SearchServletTotalExecutionTime:1121484,JDBCExecutionTime:558488
SearchServletTotalExecutionTime:1074357,JDBCExecutionTime:549779
SearchServletTotalExecutionTime:1167593,JDBCExecutionTime:625982
SearchServletTotalExecutionTime:1082770,JDBCExecutionTime:571398
SearchServletTotalExecutionTime:1087373,JDBCExecutionTime:571443
SearchServletTotalExecutionTime:1149586,JDBCExecutionTime:613649
SearchServletTotalExecutionTime:1121430,JDBCExecutionTime:587101
SearchServletTotalExecutionTime:1140223,JDBCExecutionTime:620265
SearchServletTotalExecutionTime:1100661,JDBCExecutionTime:569299
SearchServletTotalExecutionTime:1088695,JDBCExecutionTime:553547
SearchServletTotalExecutionTime:1214615,JDBCExecutionTime:612839
SearchServletTotalExecutionTime:1081428,JDBCExecutionTime:572753
SearchServletTotalExecutionTime:1079385,JDBCExecutionTime:557403
SearchServletTotalExecutionTime:1078640,JDBCExecutionTime:566366
SearchServletTotalExecutionTime:1057481,JDBCExecutionTime:546285
SearchServletTotalExecutionTime:1162294,JDBCExecutionTime:578625
SearchServletTotalExecutionTime:1137045,JDBCExecutionTime:565275
SearchServletTotalExecutionTime:1107698,JDBCExecutionTime:574654
SearchServletTotalExecutionTime:1129358,JDBCExecutionTime:566174
SearchServletTotalExecutionTime:1156689,JDBCExecutionTime:612735
SearchServletTotalExecutionTime:1139092,JDBCExecutionTime:557652
SearchServletTotalExecutionTime:1071580,JDBCExecutionTime:557983
SearchServletTotalExecutionTime:1140919,JDBCExecutionTime:577122
SearchServletTotalExecutionTime:1145200,JDBCExecutionTime:579022
SearchServletTotalExecutionTime:1080407,JDBCExecutionTime:548693
SearchServletTotalExecutionTime:1142546,JDBCExecutionTime:559618
SearchServletTotalExecutionTime:1064418,JDBCExecutionTime:555106
SearchServletTotalExecutionTime:1140803,JDBCExecutionTime:607040
SearchServletTotalExecutionTime:1193328,JDBCExecutionTime:582476
SearchServletTotalExecutionTime:1105457,JDBCExecutionTime:576930
SearchServletTotalExecutionTime:1134508,JDBCExecutionTime:560784
SearchServletTotalExecutionTime:1153344,JDBCExecutionTime:569525
SearchServletTotalExecutionTime:1092207,JDBCExecutionTime:568817
SearchServletTotalExecutionTime:1093190,JDBCExecutionTime:525688
SearchServletTotalExecutionTime:1083485,JDBCExecutionTime:565388
SearchServletTotalExecutionTime:1080216,JDBCExecutionTime:545614
SearchServletTotalExecutionTime:1116035,JDBCExecutionTime:564072
SearchServletTotalExecutionTime:1072245,JDBCExecutionTime:565960
SearchServletTotalExecutionTime:1188046,JDBCExecutionTime:609115
SearchServletTotalExecutionTime:1121186,JDBCExecutionTime:577284
SearchServletTotalExecutionTime:1110846,JDBCExecutionTime:561493
SearchServletTotalExecutionTime:1116764,JDBCExecutionTime:559630
SearchServletTotalExecutionTime:1103772,JDBCExecutionTime:577338
SearchServletTotalExecutionTime:1145571,JDBCExecutionTime:572244
SearchServletTotalExecutionTime:1093885,JDBCExecutionTime:572518
SearchServletTotalExecutionTime:1154700,JDBCExecutionTime:580223
SearchServletTotalExecutionTime:1058582,JDBCExecutionTime:536857
SearchServletTotalExecutionTime:1098137,JDBCExecutionTime:557698
SearchServletTotalExecutionTime:1134810,JDBCExecutionTime:556618
SearchServletTotalExecutionTime:1067402,JDBCExecutionTime:540765
SearchServletTotalExecutionTime:1171365,JDBCExecutionTime:588616
SearchServletTotalExecutionTime:1120803,JDBCExecutionTime:563781
SearchServletTotalExecutionTime:1103731,JDBCExecutionTime:578307
SearchServletTotalExecutionTime:1067507,JDBCExecutionTime:563921
SearchServletTotalExecutionTime:1133475,JDBCExecutionTime:569488
SearchServletTotalExecutionTime:1172407,JDBCExecutionTime:577953
SearchServletTotalExecutionTime:1095059,JDBCExecutionTime:562683
SearchServletTotalExecutionTime:1202905,JDBCExecutionTime:632948
